sku;nama_produk;gambar;barcode;sni
ASGD-639PR;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639RD;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639WH;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASGD-639YL;Glass Dispenser / Dispenser Kaca 3,9 Ltr;;;?
ASIC-01;Es Batu Ice Cube Food Grade Quality Kuda Unicorn;;;?
ASIC-02;Es Batu Ice Cube Food Grade Quality Hati;;;?
ASIS-01;"Sendok Scoop Ice Cream Stainless
- Asta";;;
ASJS-01;"Sutil Kayu Jumbo
/ Spatula Kayu";;;
ASKK-01;Pisau daging 01;;;
ASKK-02;Pisau daging 02;;;
ASKK-03;Pisau daging 03;;;
ASKP-01;Panggangan / Grill Pan / Koki Pan Square 01;;;
ASKP-02;Panggangan / Grill Pan / Koki Pan Oishi 02;;;
ASKP-03;Panggangan / Grill Pan / Koki Pan Round 03;;;
ASKS-01OR;Pisau Set Orange;;;?
ASKS-01PR;Pisau Set Purple;;;?
ASLB-01-3B;Lunch Box 01 3 Compartments Blue - Asta;;;
ASLB-01-3P;Lunch Box 01 3 Compartments Pink - Asta;;;
ASLB-01-3R;Lunch Box 01 3 Compartments Red - Asta;;;
ASLB-01-3T;Lunch Box 01 3 Compartments Turquoise- Asta;;;
ASLB-01-4B;Lunch Box 01 4 Compartments Blue - Asta;;;
ASLB-01- 4B+ALBG-01;Lunch Box 01 4 sekat blue + lunch bag;;;
ASLB-01-4BK;Lunch Box 01 4 Compartments Black - Asta;;;
ASLB-01- 4BK+ALBG-01;Lunch Box 01 4 sekat black + lunch bag;;;
ASLB-01-4P;Lunch Box 01 4 Compartments Pink - Asta;;;
ASLB-01- 4P+ALBG-01;Lunch Box 01 4 sekat pink + lunch bag;;;
ASLB-01-4R;Lunch Box 01 4 Compartments Red - Asta;;;
ASLB-01- 4R+ALBG-01;Lunch Box 01 4 sekat red + lunch bag;;;
ASLB-01-4T;Lunch Box 01 4 Compartments Turquoise - Asta;;;
ASLB-01- 4T+ALBG-01;Lunch Box 01 4 sekat turkis  + lunch bag;;;
ASLB-02-BL;Kotak Makan Stainless Steel Lunch Box Dengan Tempat Sup BIRU;;;
ASLB-02-GR;Kotak Makan Stainless Steel Lunch Box Dengan Tempat Sup HIJAU;;;
ASLB-02-PK;Kotak Makan Stainless Steel Lunch Box Dengan Tempat Sup PINK;;;
ASLB-03-BL;Kotak Makan Stainless Steel Kotak Bekal Anti Tumpah BIRU;;;
ASLB-03-GR;Kotak Makan Stainless Steel Kotak Bekal Anti Tumpah GREEN;;;
ASLB-03-PK;Kotak Makan Stainless Steel Kotak Bekal Anti Tumpah PINK;;;
ASLB-04BROWN;Kotak Makan Stainless Steel Lunch Box 1 layer 2 sekat BROWN;;;
ASLB-04CREAM;Kotak Makan Stainless Steel Lunch Box 1 layer 2 sekat CREAM;;;
ASLB-05BROWN;Kotak Makan Stainless Steel Lunch Box 2 layer 2 sekat BROWN;;;
ASLB-05CREAM;Kotak Makan Stainless Steel Lunch Box 2 layer 2 sekat CREAM;;;
ASLL-01;Gayung Stainless Panjang 12 cm - Asta;;;
ASLL-02;Gayung Stainless Panjang 14cm - Asta;;;
ASLL-03;Gayung Stainless Panjang 18 cm - Asta;;;
ASLP-01;akan Anak Stainless Steel Kids Food;;;
ASLP-02;akan Anak Stainless Steel Kids Food;;;
ASLP-03;akan Anak Stainless Steel Kids Food;;;
ASLP-04P;tainless Steel Dengan Tutup Plastik;;;
ASLP-04S;inless Steel Dengan Tutup Stainless;;;
ASLP-05P;tainless Steel Dengan Tutup Plastik;;;
ASLP-05S;less Steel Dengan Tutup Stainless S;;;
ASLP-06;n Anak Stainless Steel Kids Food Tr;;;
ASMB-18;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 18 cm;;;
ASMB-18-24cm;Baskom Set 18-24 cm;;;
ASMB-20;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 20 cm;;;
ASMB-22;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 22 cm;;;
ASMB-24;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 24 cm;;;
ASMB-28;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 28 cm;;;
